"album_id","album_name","album_type","album_total_tracks","album_release_date","album_url","release_date"
"5JjnoGJyOxfSZUZtk2rRwZ","Not Like Us","album","1","2024-05-04","https://open.spotify.com/album/5JjnoGJyOxfSZUZtk2rRwZ","2024-05-04"
"0hvT3yIEysuuvkK73vgdcW","GNX","album","12","2024-11-22","https://open.spotify.com/album/0hvT3yIEysuuvkK73vgdcW","2024-11-22"
"5HAxzyUfyay8NElNaehsNe","4X4","album","1","2025-01-24","https://open.spotify.com/album/5HAxzyUfyay8NElNaehsNe","2025-01-24"
"5dx9ylPTCSU1SHR2b3uqXh","3AM in ToKEYo","album","1","2025-02-07","https://open.spotify.com/album/5dx9ylPTCSU1SHR2b3uqXh","2025-02-07"
"2c8SoKQdYX3D7tN1ywt9xb","WHAM","album","15","2025-01-03","https://open.spotify.com/album/2c8SoKQdYX3D7tN1ywt9xb","2025-01-03"
"0U28P0QVB1QRxpqp5IHOlH","CHROMAKOPIA","album","14","2024-10-28","https://open.spotify.com/album/0U28P0QVB1QRxpqp5IHOlH","2024-10-28"
"60UzB8mOCMpc7xkuJE6Bwc","Alligator Bites Never Heal","album","19","2024-08-30","https://open.spotify.com/album/60UzB8mOCMpc7xkuJE6Bwc","2024-08-30"
"01e9pFweITqyn2Kr8INdQr","Trappa Rappa","album","1","2025-02-21","https://open.spotify.com/album/01e9pFweITqyn2Kr8INdQr","2025-02-21"
"2qBkwnQ9M3pwuQWJXDiaGa","I Aint Feeling You","album","12","2025-01-31","https://open.spotify.com/album/2qBkwnQ9M3pwuQWJXDiaGa","2025-01-31"
"4iqbFIdGOTzXeDtt9owjQn","WE DON'T TRUST YOU","album","17","2024-03-22","https://open.spotify.com/album/4iqbFIdGOTzXeDtt9owjQn","2024-03-22"
"7awBKnBq0qRLNyD5lI47R0","Eternal Atake 2","album","16","2024-11-01","https://open.spotify.com/album/7awBKnBq0qRLNyD5lI47R0","2024-11-01"
"58iEeJbYd6OBGRM0TiwltL","A Great Chaos (Deluxe)","album","25","2024-07-05","https://open.spotify.com/album/58iEeJbYd6OBGRM0TiwltL","2024-07-05"
"2IRxVVqbSbqHJo8Zx50LYn","Timeless","album","1","2024-09-27","https://open.spotify.com/album/2IRxVVqbSbqHJo8Zx50LYn","2024-09-27"
"2g28Q65tnnBD8TaCAFpdQi","Insecurities","album","1","2024-11-15","https://open.spotify.com/album/2g28Q65tnnBD8TaCAFpdQi","2024-11-15"
"3cdcIcidzGHVQW5e9qQgtx","ALL RED","album","1","2024-09-13","https://open.spotify.com/album/3cdcIcidzGHVQW5e9qQgtx","2024-09-13"
"4Zoxsc06EUHRf5GrJPJZ54","MIXTAPE PLUTO","album","17","2024-09-20","https://open.spotify.com/album/4Zoxsc06EUHRf5GrJPJZ54","2024-09-20"
